Estados,Fechas,Confirmados,Defunciones
Baja California,2020-04-04,54,5
Baja California,2020-04-05,69,6
Baja California,2020-04-06,111,7
Baja California,2020-04-07,136,7
Baja California,2020-04-08,225,15
Baja California,2020-04-09,239,16
Baja California,2020-04-10,258,17
Baja California,2020-04-11,278,20
Baja California,2020-04-12,335,22
Baja California,2020-04-13,368,25
Baja California,2020-04-14,412,28
Baja California,2020-04-15,464,28
Baja California,2020-04-16,505,31
Baja California Sur,2020-01-23,0,0
Baja California Sur,2020-01-24,0,0
Baja California Sur,2020-01-25,0,0
Baja California Sur,2020-01-26,0,0
Baja California Sur,2020-01-27,0,0
Baja California Sur,2020-01-28,0,0
Baja California Sur,2020-01-29,0,0
Baja California Sur,2020-01-30,0,0
Baja California Sur,2020-01-31,0,0
Baja California Sur,2020-02-01,0,0
Baja California Sur,2020-02-02,0,0
Baja California Sur,2020-02-03,0,0
Baja California Sur,2020-02-04,0,0
Baja California Sur,2020-02-05,0,0
Baja California Sur,2020-02-06,0,0
Baja California Sur,2020-02-07,0,0
Baja California Sur,2020-02-08,0,0
Baja California Sur,2020-02-09,0,0
Baja California Sur,2020-02-10,0,0
Baja California Sur,2020-02-11,0,0
Baja California Sur,2020-02-12,0,0
Baja California Sur,2020-02-13,0,0
Baja California Sur,2020-02-14,0,0
Baja California Sur,2020-02-15,0,0
Baja California Sur,2020-02-16,0,0
Baja California Sur,2020-02-17,0,0
Baja California Sur,2020-02-18,0,0
Baja California Sur,2020-02-19,0,0
Baja California Sur,2020-02-20,0,0
Baja California Sur,2020-02-21,0,0
Baja California Sur,2020-02-22,0,0
Baja California Sur,2020-02-23,0,0
Baja California Sur,2020-02-24,0,0
Baja California Sur,2020-02-25,0,0
Baja California Sur,2020-02-26,0,0
Baja California Sur,2020-02-27,0,0
Baja California Sur,2020-02-28,0,0
Baja California Sur,2020-02-29,0,0
Baja California Sur,2020-03-01,0,0
Baja California Sur,2020-03-02,0,0
Baja California Sur,2020-03-03,0,0
Baja California Sur,2020-03-04,0,0
Baja California Sur,2020-03-05,0,0
Baja California Sur,2020-03-06,0,0
Baja California Sur,2020-03-07,0,0
Baja California Sur,2020-03-08,0,0
Baja California Sur,2020-03-09,0,0
Baja California Sur,2020-03-10,0,0
Baja California Sur,2020-03-11,0,0
Baja California Sur,2020-03-12,0,0
Baja California Sur,2020-03-13,0,0
Baja California Sur,2020-03-14,0,0
Baja California Sur,2020-03-15,0,0
Baja California Sur,2020-03-16,0,0
Baja California Sur,2020-03-17,0,0
Baja California Sur,2020-03-18,0,0
Baja California Sur,2020-03-19,0,0
Baja California Sur,2020-03-20,0,0
Baja California Sur,2020-03-21,1,0
Baja California Sur,2020-03-22,1,0
Baja California Sur,2020-03-23,2,0
Baja California Sur,2020-03-24,2,0
Baja California Sur,2020-03-25,5,0
Baja California Sur,2020-03-26,7,0
Baja California Sur,2020-03-27,9,0
Baja California Sur,2020-03-28,9,0
Baja California Sur,2020-03-29,11,0
Baja California Sur,2020-03-30,13,0
Baja California Sur,2020-03-31,17,0
Baja California Sur,2020-04-01,18,2
Baja California Sur,2020-04-02,19,2
Baja California Sur,2020-04-03,21,2
Baja California Sur,2020-04-04,27,2
Baja California Sur,2020-04-05,28,2
Baja California Sur,2020-04-06,54,2
Baja California Sur,2020-04-07,56,2
Baja California Sur,2020-04-08,68,2
Baja California Sur,2020-04-09,68,2
Baja California Sur,2020-04-10,85,2
Baja California Sur,2020-04-11,102,2
Baja California Sur,2020-04-12,120,2
Baja California Sur,2020-04-13,153,3
Baja California Sur,2020-04-14,164,5
Baja California Sur,2020-04-15,165,6
Baja California Sur,2020-04-16,166,6
Campeche,2020-01-23,0,0
Campeche,2020-01-24,0,0
Campeche,2020-01-25,0,0
Campeche,2020-01-26,0,0
Campeche,2020-01-27,0,0
Campeche,2020-01-28,0,0
Campeche,2020-01-29,0,0
Campeche,2020-01-30,0,0
Campeche,2020-01-31,0,0
Campeche,2020-02-01,0,0
Campeche,2020-02-02,0,0
Campeche,2020-02-03,0,0
Campeche,2020-02-04,0,0
Campeche,2020-02-05,0,0
Campeche,2020-02-06,0,0
Campeche,2020-02-07,0,0
Campeche,2020-02-08,0,0
Campeche,2020-02-09,0,0
Campeche,2020-02-10,0,0
Campeche,2020-02-11,0,0
Campeche,2020-02-12,0,0
Campeche,2020-02-13,0,0
Campeche,2020-02-14,0,0
Campeche,2020-02-15,0,0
Campeche,2020-02-16,0,0
Campeche,2020-02-17,0,0
Campeche,2020-02-18,0,0
Campeche,2020-02-19,0,0
Campeche,2020-02-20,0,0
Campeche,2020-02-21,0,0
Campeche,2020-02-22,0,0
Campeche,2020-02-23,0,0
Campeche,2020-02-24,0,0
Campeche,2020-02-25,0,0
Campeche,2020-02-26,0,0
Campeche,2020-02-27,0,0
Campeche,2020-02-28,0,0
Campeche,2020-02-29,0,0
Campeche,2020-03-01,0,0
Campeche,2020-03-02,0,0
Campeche,2020-03-03,0,0
Campeche,2020-03-04,0,0
Campeche,2020-03-05,0,0
Campeche,2020-03-06,0,0
Campeche,2020-03-07,0,0
Campeche,2020-03-08,0,0
Campeche,2020-03-09,0,0
Campeche,2020-03-10,0,0
Campeche,2020-03-11,0,0
Campeche,2020-03-12,0,0
Campeche,2020-03-13,0,0
Campeche,2020-03-14,0,0
Campeche,2020-03-15,0,0
Campeche,2020-03-16,0,0
Campeche,2020-03-17,0,0
Campeche,2020-03-18,0,0
Campeche,2020-03-19,0,0
Campeche,2020-03-20,0,0
Campeche,2020-03-21,0,0
Campeche,2020-03-22,1,0
Campeche,2020-03-23,2,0
Campeche,2020-03-24,2,0
Campeche,2020-03-25,2,0
Campeche,2020-03-26,2,0
Campeche,2020-03-27,2,0
Campeche,2020-03-28,3,0
Campeche,2020-03-29,3,0
Campeche,2020-03-30,3,0
Campeche,2020-03-31,5,0
Campeche,2020-04-01,5,0
Campeche,2020-04-02,5,0
Campeche,2020-04-03,6,0
Campeche,2020-04-04,8,0
Campeche,2020-04-05,8,0
Campeche,2020-04-06,9,0
Campeche,2020-04-07,14,1
Campeche,2020-04-08,14,1
Campeche,2020-04-09,14,1
Campeche,2020-04-10,15,1
Campeche,2020-04-11,18,1
Campeche,2020-04-12,19,1
Campeche,2020-04-13,29,2
Campeche,2020-04-14,33,2
Campeche,2020-04-15,43,2
Campeche,2020-04-16,45,3
Coahuila,2020-01-23,0,0
Coahuila,2020-01-24,0,0
Coahuila,2020-01-25,0,0
Coahuila,2020-01-26,0,0
Coahuila,2020-01-27,0,0
Coahuila,2020-01-28,0,0
Coahuila,2020-01-29,0,0
Coahuila,2020-01-30,0,0
Coahuila,2020-01-31,0,0
Coahuila,2020-02-01,0,0
Coahuila,2020-02-02,0,0
Coahuila,2020-02-03,0,0
Coahuila,2020-02-04,0,0
Coahuila,2020-02-05,0,0
Coahuila,2020-02-06,0,0
Coahuila,2020-02-07,0,0
Coahuila,2020-02-08,0,0
Coahuila,2020-02-09,0,0
Coahuila,2020-02-10,0,0
Coahuila,2020-02-11,0,0
Coahuila,2020-02-12,0,0
Coahuila,2020-02-13,0,0
Coahuila,2020-02-14,0,0
Coahuila,2020-02-15,0,0
Coahuila,2020-02-16,0,0
Coahuila,2020-02-17,0,0
Coahuila,2020-02-18,0,0
Coahuila,2020-02-19,0,0
Coahuila,2020-02-20,0,0
Coahuila,2020-02-21,0,0
Coahuila,2020-02-22,0,0
Coahuila,2020-02-23,0,0
Coahuila,2020-02-24,0,0
Coahuila,2020-02-25,0,0
Coahuila,2020-02-26,0,0
Coahuila,2020-02-27,0,0
Coahuila,2020-02-28,0,0
Coahuila,2020-02-29,1,0
Coahuila,2020-03-01,1,0
Coahuila,2020-03-02,1,0
Coahuila,2020-03-03,1,0
Coahuila,2020-03-04,1,0
Coahuila,2020-03-05,1,0
Coahuila,2020-03-06,1,0
Coahuila,2020-03-07,1,0
Coahuila,2020-03-08,1,0
Coahuila,2020-03-09,1,0
Coahuila,2020-03-10,1,0
Coahuila,2020-03-11,1,0
Coahuila,2020-03-12,1,0
Coahuila,2020-03-13,1,0
Coahuila,2020-03-14,1,0
Coahuila,2020-03-15,1,0
Coahuila,2020-03-16,1,0
Coahuila,2020-03-17,1,0
Coahuila,2020-03-18,1,0
Coahuila,2020-03-19,1,0
Coahuila,2020-03-20,1,0
Coahuila,2020-03-21,3,0
Coahuila,2020-03-22,10,0
Coahuila,2020-03-23,12,0
Coahuila,2020-03-24,12,0
Coahuila,2020-03-25,12,0
Coahuila,2020-03-26,13,0
Coahuila,2020-03-27,14,0
Coahuila,2020-03-28,15,0
Coahuila,2020-03-29,32,1
Coahuila,2020-03-30,39,1
Coahuila,2020-03-31,44,1
Coahuila,2020-04-01,57,2
Coahuila,2020-04-02,62,2
Coahuila,2020-04-03,70,3
Coahuila,2020-04-04,72,4
Coahuila,2020-04-05,82,4
Coahuila,2020-04-06,102,5
Coahuila,2020-04-07,109,5
Coahuila,2020-04-08,122,7
Coahuila,2020-04-09,129,7
Coahuila,2020-04-10,143,7
Coahuila,2020-04-11,156,11
Coahuila,2020-04-12,157,11
Coahuila,2020-04-13,176,12
Coahuila,2020-04-14,194,12
Coahuila,2020-04-15,195,12
Coahuila,2020-04-16,214,15
Colima,2020-01-23,0,0
Colima,2020-01-24,0,0
Colima,2020-01-25,0,0
Colima,2020-01-26,0,0
Colima,2020-01-27,0,0
Colima,2020-01-28,0,0
Colima,2020-01-29,0,0
Colima,2020-01-30,0,0
Colima,2020-01-31,0,0
Colima,2020-02-01,0,0
Colima,2020-02-02,0,0
Colima,2020-02-03,0,0
Colima,2020-02-04,0,0
Colima,2020-02-05,0,0
Colima,2020-02-06,0,0
Colima,2020-02-07,0,0
Colima,2020-02-08,0,0
Colima,2020-02-09,0,0
Colima,2020-02-10,0,0
Colima,2020-02-11,0,0
Colima,2020-02-12,0,0
Colima,2020-02-13,0,0
Colima,2020-02-14,0,0
Colima,2020-02-15,0,0
Colima,2020-02-16,0,0
Colima,2020-02-17,0,0
Colima,2020-02-18,0,0
Colima,2020-02-19,0,0
Colima,2020-02-20,0,0
Colima,2020-02-21,0,0
Colima,2020-02-22,0,0
Colima,2020-02-23,0,0
