Estados,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31
Quintana Roo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,5,1,0,9,1,0,7,0,4,5,5,4,4,5,9,10,11,29,20,8,16,4,53,7,16,6,24,7,4,35,7,38,33,33,35,50,29,53,50,45,13,77,42,58,22,12,32,26,19,33,40,10,37,26,33,49,30,31,27,31,19,27,58,80,48,29,32,42,46,48,39,35,32
San Luis Potosí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,0,2,3,4,0,1,1,1,1,4,1,0,6,2,2,0,2,0,4,2,4,1,3,2,2,0,1,0,2,1,4,3,1,1,5,0,3,3,5,1,13,10,12,9,16,10,10,20,18,24,10,28,14,34,30,25,37,25,28,26,14,32,33,39,44,52,1,43,52,29,33,32,49
Sinaloa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4,1,5,5,5,3,5,10,9,23,16,7,14,14,13,33,43,15,16,16,31,35,47,39,46,27,24,60,46,76,19,39,48,8,18,45,143,69,44,43,34,55,62,61,21,78,47,62,41,96,98,48,65,92,60,82,82,86,110,150,210,19,90,113,109,136,162
Sonora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,3,1,2,4,3,0,1,3,1,5,1,2,5,11,2,7,10,4,3,1,5,11,8,11,9,0,-3,8,5,11,-3,9,15,4,10,13,28,9,16,13,19,33,46,28,62,26,39,25,69,46,64,42,80,21,75,31,108,56,67,175,8,124,30,36,154,49,225
Tabasco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,11,4,6,6,5,10,4,10,11,10,14,10,1,4,1,21,9,10,3,39,15,23,17,28,57,62,70,37,88,52,56,21,91,73,50,42,83,10,115,50,29,41,86,125,68,54,103,120,99,89,105,84,122,108,75,156,112,106,113,105,90,130,129,190,202,139,134
Tamaulipas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,4,3,4,6,5,1,11,3,2,1,4,0,2,5,18,13,26,10,7,11,21,25,14,12,45,26,8,13,7,24,24,17,8,8,19,24,1,269,28,19,32,12,64,26,29,21,53,70,20,30,21,60,29,78,11,60,81,63,50,2
Tlaxcala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,3,1,2,3,4,5,6,5,4,2,9,2,7,4,5,5,4,2,6,15,8,11,15,7,5,23,17,14,25,11,11,11,12,18,26,18,33,4,29,14,41,39,35,20,25,16,49,28,26,12,56,33,45,27,90,2,24,25,39
Veracruz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,10,6,1,2,1,1,1,6,2,3,1,5,3,5,9,10,5,4,12,12,6,9,3,22,10,9,30,35,38,31,35,68,36,48,60,40,55,32,99,34,33,87,87,101,44,148,142,72,92,32,103,121,110,176,68,141,166,86,77,176,305,108,89,88,57,89
Yucatán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,3,5,0,1,5,0,5,5,3,4,2,3,5,3,3,1,6,3,5,5,2,0,14,0,15,4,7,2,12,3,9,32,4,15,3,5,35,10,55,22,29,25,26,44,40,45,54,20,41,39,37,26,37,39,19,35,41,49,51,59,31,38,53,40,79,42,55,68,36,45,35,59,35,75,51
Zacatecas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,3,0,-1,1,1,0,3,0,1,1,1,1,0,5,4,0,4,1,11,4,3,7,7,0,2,1,7,9,8,5,10,3,6,9,7,5,9,6,2,7,4,9,9,10,3,2,6,2,10,7,7,8,9,10,11,6,6,8
